FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
MUDDY BRANCH BEER & WINE,"836 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",5/26/2016,SALE TO MINOR,SETTLED; $1000.00 + SETTLED,7/25/2016
"BEST BEER, WINE, & DELI","18749 NORTH FREDERICK AVENUE A, GAITHERSBURG, MD 20879",4/10/2016,SALE/SERVICE TO INTOXICATED PATRON,"HEARING; $1,000 FINE + ALERT + STATE ALCOHOL CERTIFICATION TRAINING",7/21/2016
MOGOTILLO RESTAURANT,"7637 NEW HAMPSHIRE AVENUE , TAKOMA PARK, MD 20912",6/26/2015,SALE/SERVICE TO INTOXICATED PATRON,"HEARING; $10,000 + 2 WEEK SUSPENSION + ALERT",4/29/2016
TED'S MONTANA GRILL,"105 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",6/9/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,7/11/2016
DAILY GRILL,"1 BETHESDA METRO CENTER , BETHESDA, MD 20814",12/7/2016,SALE TO MINOR,"SETTLED, $2,500 + ALERT",1/31/2017
EL NORTENO,"8917 BROOKVILLE ROAD , SILVER SPRING, MD 20910",4/26/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/25/2016
NOT YOUR AVERAGE JOE'S,"239 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",10/16/2015,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,4/29/2016
HAMPTON INN & SUITES,"960 FREDERICK AVE , GAITHERSBURG, MD 20879",12/21/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/20/2017
RED LOBSTER-GAITHERSBURG,"15700 SHADY GROVE ROAD , GAITHERSBURG, MD 20877",5/26/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,7/18/2016
BURGERFI,"8504 FENTON STREET , SILVER SPRING, MD 20910",4/12/2016,SALE TO MINOR,SETTLED: $1000.00,5/6/2016
BESTWAY MARYLAND SUPERMKT.,"8540 PINEY BRANCH ROAD , SILVER SPRING, MD 20901",3/31/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,5/4/2016
TYBER BIERHAUS,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",4/15/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/1/2016
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",9/9/2016,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,10/18/2016
GROWLERS,"227 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",11/18/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/15/2016
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",3/31/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,5/24/2016
CHIPOTLE MEXICAN GRILL - KENTLANDS,"96 MAIN STREET , GAITHERSBURG, MD 20878",8/25/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/13/2016
EL NORTENO,"8917 BROOKVILLE ROAD , SILVER SPRING, MD 20910",4/26/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/25/2016
CHIPOTLE MEXICAN GRILL,"4471 WILLIARD AVENUE , CHEVY CHASE, MD 20815",12/14/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/29/2016
BIG WAN'S CUISINE,"16051 FREDERICK ROAD , ROCKVILLE, MD 20855",3/8/2016,LICENSE NOT PROPERLY DISPLAYED,HEARING; $100 FINE,8/23/2016
MASTER 8 BILLIARDS,"2640 UNIVERITY BLVD. , SILVER SPRING, MD 20902",4/25/2015,SALE TO MINOR,"SETTLED; $1500.00
+ALERT",2/12/2016
SAMANTHA'S,"631 UNIVERSITY BLVD. E. , SILVER SPRING, MD 20901",7/14/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,8/16/2016
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",5/18/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,7/1/2016
CALIENTE RESTAURANT & BAR,"2442 ENALLS AVENUE , WHEATON, MD 20902",9/26/2015,SALE/SERVICE TO INTOXICATED PATRON,HEARING; $1000 FINE,4/14/2016
JACKIE'S,"8081 GEORGIA AVE. , SILVER SPRING, MD 20910",12/22/2015,SALE TO MINOR,"SETTLED; $2,500 + ALERT",1/27/2016
PERUVIAN COUNTRY CHICKEN,"10118 COLESVILLE ROAD , SILVER SPRING, MD 20901",6/28/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,8/4/2016
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",1/29/2016,SALE TO MINOR,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,5/31/2016
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",6/25/2015,SALE TO MINOR,SETTLED; $2500.00 + ALERT,4/14/2016
VIET PHO & GRILL,"1640 ELTON ROAD , SILVER SPRING, MD 20903",8/23/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,9/22/2016
THE BARKING DOG,"4723 ELM STREET , BETHESDA, MD 20814",1/8/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; ONE WEEK SUSPENSION,6/16/2016
KADHAI INDIAN CUISINE,"7905 NORFOLK AVENUE , BETHESDA, MD 20814",3/23/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/18/2016
CAMBRIA HOTEL & SUITES,"1 RENAISSANCE STREET , ROCKVILLE, MD 20850",12/27/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,1/17/2017
FOREST GLEN DELI,"536 FOREST GLEN ROAD , SILVER SPRING, MD 20901-2206",4/26/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/24/2016
TEXAS PARRILLADA,"9631 LOST KNIFE ROAD , GAITHERSBURG, MD 20879",5/22/2016,PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,HEARING; NOT GUILTY,8/4/2016
"CANCUN GRILL RESTAURANT, THE","11220 GEORGIA AVENUE , WHEATON, MD 20902",1/16/2015,SALE TO MINOR,SETTLED; $3000.00 + ALERT,4/28/2016
EL AGUILA,"7926 GEORGIA AVENUE , SILVER SPRING, MD 20910",11/20/2015,SALE TO MINOR,"SETTLED; $1,000 + ALERT",1/19/2016
BEMNET SUPERMARKET AND DELI,"617 SLIGO AVENUE , SILVER SPRING, MD 20910",3/31/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,7/22/2016
PASHA LAND,"644 CENTER POINT WAY , GAITHERSBURG, MD 20878",5/26/2016,SALE TO MINOR,SETTLED: $1000.00 + ALERT,6/22/2016
BIG WAN'S CUISINE,"16051 FREDERICK ROAD , ROCKVILLE, MD 20855",5/10/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; 10 DAY SUSPENSION,2/6/2016
HYATT SUMMERFIELD SUITES,"200 SKIDMORE BOULEVARD , GAITHERSBURG, MD 20877",5/25/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,6/24/2016
APPLEBEE'S,"21048 FREDERICK RD , GERMANTOWN, MD 20876",12/21/2016,SALE TO MINOR,SETTLED;  $1000.00 + ALERT,1/23/2017
BESTWAY MARYLAND SUPERMKT.,"8540 PINEY BRANCH ROAD , SILVER SPRING, MD 20901",3/31/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/4/2016
RUMBA Y CARBON,"11222 GRANDVIEW AVENUE , GAITHERSBURG, MD 20902",2/18/2016,SALE TO MINOR,"HEARING; $2,500 + ALERT",5/5/2016
BRIGHTON BEER & WINE,"225 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",12/1/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/27/2016
DOCK OF THE BAY,"429 S. FREDERICK ROAD , GAITHERSBURG, MD 20877",5/25/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/22/2016
